"","RPTYEAR","AGEYREND","n","COUNT_THSNDS","PERCENT"
"1",1999,"(1) 18-24 years",113248,113.248,17.5533662758616
"2",1999,"(2) 25-34 years",229708,229.708,35.6045904607201
"3",1999,"(3) 35-44 years",202934,202.934,31.4546378905209
"4",1999,"(4) 45-54 years",75901,75.901,11.7646055886565
"5",1999,"(5) 55+ years",23373,23.373,3.62279978424091
"6",2000,"(1) 18-24 years",179291,179.291,18.3842574458442
"7",2000,"(2) 25-34 years",338106,338.106,34.6689334544657
"8",2000,"(3) 35-44 years",301514,301.514,30.9168391024997
"9",2000,"(4) 45-54 years",119429,119.429,12.2460886631216
"10",2000,"(5) 55+ years",36902,36.902,3.78388133406888
"11",2001,"(1) 18-24 years",191390,191.39,18.4419674001442
"12",2001,"(2) 25-34 years",352732,352.732,33.9885680808174
"13",2001,"(3) 35-44 years",317722,317.722,30.6150727117854
"14",2001,"(4) 45-54 years",134100,134.1,12.9216146525907
"15",2001,"(5) 55+ years",41852,41.852,4.03277715466238
"16",2002,"(1) 18-24 years",202686,202.686,18.0118262427419
"17",2002,"(2) 25-34 years",378709,378.709,33.654227250834
"18",2002,"(3) 35-44 years",341044,341.044,30.3071019662417
"19",2002,"(4) 45-54 years",154073,154.073,13.6917996541348
"20",2002,"(5) 55+ years",48782,48.782,4.33504488604756
"21",2003,"(1) 18-24 years",194038,194.038,17.6558368410613
"22",2003,"(2) 25-34 years",367401,367.401,33.4304214187053
"23",2003,"(3) 35-44 years",329204,329.204,29.9548135490199
"24",2003,"(4) 45-54 years",157977,157.977,14.3745871254101
"25",2003,"(5) 55+ years",50382,50.382,4.58434106580334
"26",2004,"(1) 18-24 years",186390,186.39,16.710806841757
"27",2004,"(2) 25-34 years",373835,373.835,33.5161997729934
"28",2004,"(3) 35-44 years",330407,330.407,29.6226597787672
"29",2004,"(4) 45-54 years",169954,169.954,15.237236257224
"30",2004,"(5) 55+ years",54800,54.8,4.91309734925846
"31",2005,"(1) 18-24 years",180715,180.715,15.8602761582877
"32",2005,"(2) 25-34 years",380926,380.926,33.4315997890153
"33",2005,"(3) 35-44 years",333147,333.147,29.2383223379635
"34",2005,"(4) 45-54 years",184294,184.294,16.1743836112966
